keys,en,it,es,fr,de
REST_HEADING,A moment's quiet,Un momento di quiete,Un momento de calma,Un instant de calme,Ein Augenblick Ruhe
REST_RECOVER,Bind your wounds,Fascia le ferite,Venda tus heridas,Pansez vos blessures,Wunden verbinden
REST_RECOVER_RESULT,You recover {0} hit points.,Recuperi {0} punti ferita.,Recuperas {0} puntos de golpe.,Vous récupérez {0} points de vie.,Du stellst {0} Trefferpunkte wieder her.
REST_PRESS_ON,Press on without resting,Prosegui senza riposare,Sigue sin descansar,Continuer sans vous reposer,Ohne Rast weiter
INVENTORY_HEADING,Equipment,Equipaggiamento,Equipo,Équipement,Ausrüstung
INVENTORY_SLOT_MAIN_HAND,Main hand,Mano primaria,Mano principal,Main directrice,Haupthand
INVENTORY_SLOT_OFF_HAND,Off hand,Mano secondaria,Mano torpe,Main secondaire,Nebenhand
INVENTORY_SLOT_ARMOUR,Armour,Armatura,Armadura,Armure,Rüstung
INVENTORY_SLOT_TRINKET,Trinket,Ninnolo,Abalorio,Babiole,Schmuckstück
INVENTORY_EMPTY_SLOT,Empty,Vuoto,Vacío,Vide,Leer
PAUSE_HEADING,Paused,In pausa,En pausa,En pause,Pausiert
PAUSE_RESUME,Resume,Riprendi,Reanudar,Reprendre,Fortsetzen
PAUSE_ABANDON,Abandon run,Abbandona la partita,Abandonar partida,Abandonner la partie,Lauf aufgeben
PAUSE_ABANDON_CONFIRM,Abandon this run? It cannot be resumed.,Abbandonare questa partita? Non potrà essere ripresa.,¿Abandonar esta partida? No podrá reanudarse.,Abandonner cette partie ? Elle ne pourra pas être reprise.,Diesen Lauf aufgeben? Er kann nicht fortgesetzt werden.
SUMMARY_VICTORY,The throne is empty,Il trono è vuoto,El trono está vacío,Le trône est vide,Der Thron ist leer
SUMMARY_DEFEAT,Your descent ends here,La tua discesa finisce qui,Tu descenso termina aquí,Votre descente s'achève ici,Dein Abstieg endet hier
SUMMARY_DEPTH_REACHED,Depth reached: {0},Profondità raggiunta: {0},Profundidad alcanzada: {0},Profondeur atteinte : {0},Erreichte Tiefe: {0}
SUMMARY_ENEMIES_DEFEATED,Enemies defeated: {0},Nemici sconfitti: {0},Enemigos derrotados: {0},Ennemis vaincus : {0},Besiegte Feinde: {0}
SUMMARY_BEST_ITEM,Finest find: {0},Miglior ritrovamento: {0},Mejor hallazgo: {0},Plus belle trouvaille : {0},Bester Fund: {0}
SUMMARY_ARCHETYPE,Delver: {0},Personaggio: {0},Explorador: {0},Explorateur : {0},Absteiger: {0}
SUMMARY_COPY_SEED,Copy seed,Copia il seme,Copiar semilla,Copier la graine,Startwert kopieren
SUMMARY_SEED_COPIED,Seed copied,Seme copiato,Semilla copiada,Graine copiée,Startwert kopiert
SUMMARY_NEW_RUN,New run,Nuova partita,Nueva partida,Nouvelle partie,Neuer Lauf
SAVE_INTEGRITY_FAILED,"This saved run could not be verified on this device and has been set aside. Its seed is shown above, so the same dungeon can be played again.","Questa partita salvata non ha superato la verifica su questo dispositivo ed è stata messa da parte. Il suo seme è mostrato sopra, così lo stesso dungeon può essere rigiocato.","Esta partida guardada no se ha podido verificar en este dispositivo y se ha apartado. Su semilla se muestra arriba, así que puedes volver a jugar la misma mazmorra.",Cette partie sauvegardée n'a pas pu être vérifiée sur cet appareil et a été mise de côté. Sa graine est affichée ci-dessus : le même donjon peut être rejoué.,"Dieser gespeicherte Lauf konnte auf diesem Gerät nicht überprüft werden und wurde beiseitegelegt. Sein Startwert steht oben, sodass dasselbe Verlies erneut gespielt werden kann."
SAVE_UNVERIFIED_NOTICE,This run was restored from a save that carries no device signature.,Questa partita è stata ripristinata da un salvataggio privo di firma del dispositivo.,Esta partida se restauró desde un guardado sin firma del dispositivo.,Cette partie a été restaurée depuis une sauvegarde sans signature d'appareil.,Dieser Lauf wurde aus einem Speicherstand ohne Gerätesignatur wiederhergestellt.
